?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/AISM_0000116>	"The cuticle of the mere that is part of the antenna."@en	
<http://purl.obolibrary.org/obo/COLAO_0000072>	"The bilaterally paired cuticular sulcus on the posterior region of the pronotum."@en	
<http://purl.obolibrary.org/obo/COLAO_0000250>	"The cuticular carina that is located in the hypomeron and that is anteriorly connected to the anterior margin of pronotum and posteriorly connected to the lateral margin of procoxal cavity."@en	
<http://purl.obolibrary.org/obo/AISM_0002053>	"The cranio-labial muscle that is attached to the submentum and the prementum."@en	
<http://purl.obolibrary.org/obo/AISM_0000019>	"The sclerite of the insect head that is attached to the neck membrane and the oral foraminal conjunctiva, bears the eye cuticle and surrounds the brain"@en	
<http://purl.obolibrary.org/obo/AISM_0000168>	"The sclerite of the salivarium."@en	
<http://purl.obolibrary.org/obo/AISM_0004233>	"The conjunctiva of the mesothorax that joins the mesosternum and the mesocoxa."@en	
<http://purl.obolibrary.org/obo/AISM_0000067>	"The cuticle of the segment of a fore leg attached to the distal margin of the profemur by the profemoro-protibial conjunctiva and to the proximal margin of the protarsus by the protibio-protarsal conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0002018>	"The cranio-mandibular muscle that is attached to the gena and the insect mandible."@en	
<http://purl.obolibrary.org/obo/AISM_0000189>	"The seta that is conical."@en	
<http://purl.obolibrary.org/obo/AISM_0002005>	"The cranio-antennal muscle that is attached to the dorsal or anterior tentorial arm and the proximal margin of the scapus."@en	
<http://purl.obolibrary.org/obo/AISM_0004069>	"The region of cuticle that is connected to the oviduct, the bursa copulatrix and the gonocoxa VIII, and is adjacent to the gonopore."@en	
<http://purl.obolibrary.org/obo/AISM_0000161>	"The ridge that is in the sagittal line of the ventral part thorax."	
<http://purl.obolibrary.org/obo/AISM_0004083>	"The region of cuticle that is continuous with the genital chamber."@en	
<http://purl.obolibrary.org/obo/COLAO_0000025>	"The discrimen of the mesoventrite."@en	
<http://purl.obolibrary.org/obo/AISM_0002027>	"The insect cranio-maxillar muscle that is attached to the gena and the cardo."@en	
<http://purl.obolibrary.org/obo/AISM_0004107>	"The abdominal sternite of the preabdomen that is attached to the posterior margin of the abdominal sternite IV by the abdominal sternite IV-abdominal sternite V conjunctiva and to the anterior margin of the abdominal sternite VI by the abdominal sternite V-abdominal sternite VI conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0002081>	"The dorsoventral thoracic muscle that extends between the profurca and the lateral region of the prophragma."@en	
<http://purl.obolibrary.org/obo/AISM_0004313>	"The bilaterally paired cuticular protrusion that contains insect tracheae."@en	
<http://purl.obolibrary.org/obo/PATO_0002112>	"A structural quality inhering in a bearer by virtue of the bearer's having a hole or holes, especially a row or array of small holes. [database_cross_reference: answers.com:answers.com]"@en	
<http://purl.obolibrary.org/obo/PATO_0000404>	"A shape quality inhering in a bearer by virtue of the bearer's being curled or wound (especially in concentric rings or spirals)."	
<http://purl.obolibrary.org/obo/BSPO_0000064>		
<http://purl.obolibrary.org/obo/PATO_0002227>	"A concave 3-D shape quality inhering in a bearer by virtue of the bearer's shape form resembling the shape of a cup. [database_cross_reference: url:http://www.thefreedictionary.com/cup-shaped]"@en	
<http://purl.obolibrary.org/obo/AISM_0004254>	"The insect wing fold that is posterior to the postcubitus and separates the costal field and the anal field."@en	
<http://purl.obolibrary.org/obo/COLAO_0000156>	"The lateral margin of the pronotum"@en	
<http://purl.obolibrary.org/obo/AISM_0000054>	"The trochantin that is located on the ventro-lateral region of the mesothorax and is attached to a mesocoxa and surrounded by the basal mesocoxal conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0004296>	"The insect abdominal segment that is posterior to the insect abdominal segment VIII and composed of abdominal tergite IX and abdominal sternite IX."@en	"http://flybase.org/cgi-bin/cvreport.pl?cvterm=FBbt:00000030"
<http://purl.obolibrary.org/obo/AISM_0000027>	"The region of cuticle that corresponds with an evagination of the cuticle and the single layer epidermis (epidermal fold). The cuticular evagination usually corresponds to a cuticular protrusion (convexity on the surface of the cuticle)."@en	
<http://purl.obolibrary.org/obo/COLAO_0000063>	"The apodeme adjacent to the proximo-lateral region of the cuticle of the insect mandible."@en	
<http://purl.obolibrary.org/obo/AISM_0004010>	"The conjunctiva of the insect maxilla that connects the stipes and the palpifer."@en	
<http://purl.obolibrary.org/obo/COLAO_0000083>	"Each of the bilaterally paired regions of cuticle on the postero-medial region of the hypomeron."@en	
<http://purl.obolibrary.org/obo/AISM_0004167>	"The conjunctiva of the postabdomen that joins the abdominal tergite X and each paraproct."@en	
<http://purl.obolibrary.org/obo/AISM_0002057>	"The cranio-labial muscle that is attached to the prementum and the labial palpus."@en	
<http://purl.obolibrary.org/obo/AISM_0004123>	"The conjunctiva of the insect abdomen that connects the abdominal sternite VIII and the abdominal sternite IX."@en	
<http://purl.obolibrary.org/obo/COLAO_0000049>	"The cranio-mandibular articulation of the head capsule at the anterior region of the postgena"@en	
<http://purl.obolibrary.org/obo/COLAO_0000080>	"Each of the bilaterally paired hypopharyngeal sclerites on the medial region of the hypopharynx."@en	
<http://purl.obolibrary.org/obo/COLAO_0000155>	"The cuticular seta on the external side of the cuticle of the gena that is posterior or ventral to the compound eye."@en	
<http://purl.obolibrary.org/obo/COLAO_0000217>	"The elytral interstria that is lateral to the elytral stria 8."@en	
<http://purl.obolibrary.org/obo/COLAO_0000092>	"The sulcus of the mesoventrite that is transverse (parallel to the left-right axis)."@en	
<http://purl.obolibrary.org/obo/COLAO_0000001>	"The carina of the pronotum that separates the pronotal disc from the hypomeron."@en	
<http://purl.obolibrary.org/obo/AISM_0000107>	"The cuticular region that is anterior (distal) to the neck membrane (encircled by the neck membrane) and contains the head capsule, the antenna, the eyes, mouthparts and surrounds the brain."@en	
<http://purl.obolibrary.org/obo/COLAO_0000213>	"The elytral interstria that is lateral to the elytral stria 6."@en	
<http://purl.obolibrary.org/obo/AISM_0002010>	"The cranio-labral muscle that is attached to the frontoclypeal ridge and the labrum."@en	
<http://purl.obolibrary.org/obo/AISM_0002086>	"The insect abdominal muscle that runs along the lateral region, parallel to the dorsal-ventral axis."@en	
<http://purl.obolibrary.org/obo/PATO_0000407>	"A quality inhering in a bearer by virtue of the bearer's having a horizontal surface without a slope, tilt, or curvature."	
<http://purl.obolibrary.org/obo/BSPO_0000084>	"Anatomical region ventrally located on the body or body part."	"FBql:00005843"
<http://purl.obolibrary.org/obo/PATO_0002254>	"A quality inhering in a bearer by virtue of the bearer's surface becoming more extended in a plane."	
<http://purl.obolibrary.org/obo/AISM_0004214>	"The insect thoracic muscle that is attached to a furca and to a coxa."@en	
<http://purl.obolibrary.org/obo/AISM_0004156>	"The sulcus of the pleuron delimiting the dorsal region of the preepisternum and the ventral region of the anepisternum."@en	
<http://purl.obolibrary.org/obo/AISM_0004035>	"The sclerite on the ventral region of the head capsule that is limited laterally by the gular ridges, posteriorly by the foramen occipitale and anteriorly by the submentum."@en	
<http://purl.obolibrary.org/obo/AISM_0004015>	"The conjunctiva of the labium that connects the prementum and the paraglossa."@en	
<http://purl.obolibrary.org/obo/AISM_0000524>	"The cuticular fovea that is small."@en	
<http://purl.obolibrary.org/obo/AISM_0004165>	"The bilaterally paired region of the cuticle of the postabdomen located between the epiproct and the paraproct"@en	
<http://purl.obolibrary.org/obo/AISM_0002025>	"The cranio-mandibular muscle that extends between the anterior tentorial arm and the dorso-medial region of the insect mandible."@en	
<http://purl.obolibrary.org/obo/AISM_0004021>	"The ridge along the dorsal and lateral regions of the head capsule that is adjacent to the foramen occipitale."@en	
<http://purl.obolibrary.org/obo/AISM_0002054>	"The cranio-labial muscle that is attached to the submentum and the mentum."@en	
<http://purl.obolibrary.org/obo/PATO_0000587>	"A size quality which is relatively low."	
<http://purl.obolibrary.org/obo/AISM_0004140>	"The part of the sternum that is attached to the posterior margin of the spinasternum."@en	
<http://purl.obolibrary.org/obo/PATO_0001573>	"A symmetry quality inhering in a bearer by virtue of the bearer's having equal dimensions or measurements."	
<http://purl.obolibrary.org/obo/COLAO_0000029>	"The antero-medial region of the metaventrite in contact with the mesoventral process."@en	
<http://purl.obolibrary.org/obo/AISM_0000032>	"The cuticle of the appendage of the head capsule that is connected by the  antenniferal-scapal conjunctiva to the cuticle of the scapus, which is connected by the scapal-pedicellar conjunctiva to the cuticle of the pedicellus; the cuticle of the pedicellus is connected by the pedicellar-first flagellomeral conjunctiva to the cuticle of the first flagellomere; the cuticle of the first flagellomere is connected by interflagellomeral conjunctiva to the next cuticle of flagellomere. Further cuticle of flagellomeres are connected to each other by interflagellomeral conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0000046>	"The conjunctiva of the insect thorax joining the prothorax and the mesothorax."@en	
<http://purl.obolibrary.org/obo/AISM_0002007>	"The cranio-antennal muscle that is attached to the dorsal or dorsolateral regions of the scapus and the lateral or dorsolateral regions of the pedicellus."@en	
<http://purl.obolibrary.org/obo/UBERON_0034926>		
<http://purl.obolibrary.org/obo/BSPO_0000045>	"Anatomical margin that is located on the antero-lateral region of the body or body part."	
<http://purl.obolibrary.org/obo/AISM_0004139>	"The part of the sternum that is attached to the posterior margin of the furcasternum and to the anterior margin of the poststernite."@en	
<http://purl.obolibrary.org/obo/AISM_0004240>	"The cuticular suture composed of both the coronal suture and paired frontal sutures."@en	
<http://purl.obolibrary.org/obo/AISM_0002003>	"The cranio-antennal muscle that is attached to the dorsal or anterior tentorial arm and the proximo-dorsal margin of the scapus."@en	
<http://purl.obolibrary.org/obo/AISM_0004007>	"The conjunctiva of the head capsule that connects the antennifer and the scapus."@en	
